sample,sex,bam,bai
HG00738,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG00738.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG00738.GRCh38_no_alt.flnc.bam.bai
HG00741,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG00741.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG00741.GRCh38_no_alt.flnc.bam.bai
HG01071,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01071.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01071.GRCh38_no_alt.flnc.bam.bai
HG01074,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01074.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01074.GRCh38_no_alt.flnc.bam.bai
HG01081,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01081.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01081.GRCh38_no_alt.flnc.bam.bai
HG01099,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01099.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01099.GRCh38_no_alt.flnc.bam.bai
HG01106,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01106.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01106.GRCh38_no_alt.flnc.bam.bai
HG01150,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01150.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01150.GRCh38_no_alt.flnc.bam.bai
HG01167,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01167.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01167.GRCh38_no_alt.flnc.bam.bai
HG01175,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01175.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01175.GRCh38_no_alt.flnc.bam.bai
HG01192,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01192.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01192.GRCh38_no_alt.flnc.bam.bai
HG01252,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01252.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01252.GRCh38_no_alt.flnc.bam.bai
HG01255,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01255.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01255.GRCh38_no_alt.flnc.bam.bai
HG01258,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01258.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01258.GRCh38_no_alt.flnc.bam.bai
HG01261,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01261.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01261.GRCh38_no_alt.flnc.bam.bai
HG01346,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01346.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01346.GRCh38_no_alt.flnc.bam.bai
HG01358,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01358.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01358.GRCh38_no_alt.flnc.bam.bai
HG01361,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01361.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01361.GRCh38_no_alt.flnc.bam.bai
HG01433,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01433.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01433.GRCh38_no_alt.flnc.bam.bai
HG01496,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01496.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01496.GRCh38_no_alt.flnc.bam.bai
HG01530,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01530.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01530.GRCh38_no_alt.flnc.bam.bai
HG01784,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01784.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01784.GRCh38_no_alt.flnc.bam.bai
HG01786,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01786.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01786.GRCh38_no_alt.flnc.bam.bai
HG01884,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01884.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01884.GRCh38_no_alt.flnc.bam.bai
HG01891,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01891.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01891.GRCh38_no_alt.flnc.bam.bai
HG01928,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01928.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01928.GRCh38_no_alt.flnc.bam.bai
HG01934,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01934.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01934.GRCh38_no_alt.flnc.bam.bai
HG01940,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01940.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01940.GRCh38_no_alt.flnc.bam.bai
HG01943,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01943.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01943.GRCh38_no_alt.flnc.bam.bai
HG01952,male,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01952.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01952.GRCh38_no_alt.flnc.bam.bai
HG01960,female,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01960.GRCh38_no_alt.flnc.bam,/vast/palmer/pi/hall/wl474/projects/hprc_r2/isoform_analysis/GRCh38_no_alt/align_flnc_bams/results/HG01960.GRCh38_no_alt.flnc.bam.bai
